Name,Task,Phase,Trial,Leg,StartTime,EndTime
284,Path Integration,Transition,NA,NA,2023-10-12T02:51:15Z,2023-10-12T02:51:40Z
284,Path Integration,NA,6,3,2023-10-12T02:51:40Z,2023-10-12T02:52:19Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:52:19Z,2023-10-12T02:52:33Z
284,Path Integration,NA,7,1,2023-10-12T02:52:33Z,2023-10-12T02:52:50Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:52:50Z,2023-10-12T02:53:05Z
284,Path Integration,NA,7,2,2023-10-12T02:53:05Z,2023-10-12T02:53:31Z
284,Path Integration,Transition,NA,NA,2023-10-12T02:53:31Z,2023-10-12T02:53:50Z
284,Path Integration,NA,7,3,2023-10-12T02:53:50Z,2023-10-12T02:54:48Z
284,Path Integration>Egocentric pointing,Transition,NA,NA,2023-10-12T02:54:48Z,2023-10-12T02:55:27Z
284,Egocentric pointing,NA,1,NA,2023-10-12T02:55:27Z,2023-10-12T02:56:50Z
284,Egocentric pointing,Transition,NA,NA,2023-10-12T02:56:50Z,2023-10-12T02:56:58Z
284,Egocentric pointing,NA,2,NA,2023-10-12T02:56:58Z,2023-10-12T02:57:50Z
284,Egocentric pointing,Transition,NA,NA,2023-10-12T02:57:50Z,2023-10-12T02:57:58Z
284,Egocentric pointing,NA,3,NA,2023-10-12T02:57:58Z,2023-10-12T02:59:03Z
284,Egocentric pointing,Transition,NA,NA,2023-10-12T02:59:03Z,2023-10-12T02:59:10Z
284,Egocentric pointing,NA,4,NA,2023-10-12T02:59:10Z,2023-10-12T02:59:47Z
284,Egocentric pointing>Mapping,Transition,NA,NA,2023-10-12T02:59:47Z,2023-10-12T03:00:49Z
284,Mapping,Arch,NA,NA,2023-10-12T03:00:49Z,2023-10-12T03:00:52Z
284,Mapping,Transition,NA,NA,2023-10-12T03:00:52Z,2023-10-12T03:00:55Z
284,Mapping,Waterfall,NA,NA,2023-10-12T03:00:55Z,2023-10-12T03:00:56Z
